time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2010-01-01 00:00:00,-2.3,-3.0999999999999996,96.0,,,20.0,25.9,,993.3,,
2010-01-01 08:00:00,-3.0,-3.0,100.0,,,40.0,18.4,,,,
2010-01-01 09:00:00,-3.0,-3.0,100.0,,,40.0,13.0,,,,
2010-01-01 11:00:00,-2.0,-2.0,100.0,,,30.0,5.4,,,,
2010-01-01 12:00:00,-1.2,-2.4,94.0,,,190.0,3.6,,993.0,,
2010-01-01 13:00:00,-1.0,-2.4,93.0,,,130.0,3.6,,,,
2010-01-01 14:00:00,0.0,-2.8,86.0,,,90.0,5.4,,,,
2010-01-01 15:00:00,0.0,-2.8,86.0,,,140.0,3.6,,,,
2010-01-01 16:00:00,-1.0,-2.4,93.0,,,250.0,11.2,,,,
2010-01-01 17:00:00,-1.0,-3.8,86.0,,,250.0,13.0,,,,
2010-01-01 18:00:00,-0.4,-3.1999999999999997,86.0,,,260.0,14.8,,993.8,,
2010-01-01 19:00:00,0.0,-2.8,86.0,,,260.0,13.0,,,,
2010-01-01 20:00:00,0.0,-2.8,86.0,,,250.0,14.8,,,,
2010-01-01 21:00:00,0.0,-2.8,86.0,,,250.0,14.8,,,,
2010-01-01 22:00:00,0.0,-4.0,80.0,,,260.0,14.8,,,,
2010-01-01 23:00:00,0.0,-2.8,86.0,,,270.0,14.8,,,,
2010-01-02 00:00:00,-0.1,-2.5,88.0,,,270.0,16.6,,994.1,,
2010-01-02 06:00:00,-0.5,-4.9,78.0,,,260.0,11.2,,993.3,,
2010-01-02 08:00:00,-1.0,-5.0,80.0,,,220.0,5.4,,,,
2010-01-02 09:00:00,0.0,-5.2,74.0,,,260.0,13.0,,,,
2010-01-02 10:00:00,0.0,-6.2,69.0,,,260.0,14.8,,,,
2010-01-02 11:00:00,0.0,-6.2,69.0,,,240.0,11.2,,,,
2010-01-02 12:00:00,-0.4,-5.0,77.0,,,260.0,11.2,,992.8,,
2010-01-02 13:00:00,0.0,-5.2,74.0,,,250.0,14.8,,,,
2010-01-02 14:00:00,0.0,-2.8,86.0,,,270.0,9.4,,,,
2010-01-02 15:00:00,0.0,-5.2,74.0,,,260.0,5.4,,,,
2010-01-02 17:00:00,0.0,-6.2,69.0,,,270.0,9.4,,,,
2010-01-02 18:00:00,0.1,-5.7,71.0,,,270.0,9.4,,992.6,,
2010-01-02 19:00:00,0.0,-5.2,74.0,,,270.0,7.6,,,,
2010-01-02 20:00:00,1.0,-6.2,64.0,,,270.0,7.6,,,,
2010-01-02 21:00:00,0.0,-5.2,74.0,,,250.0,7.6,,,,
2010-01-02 22:00:00,0.0,-5.2,74.0,,,250.0,7.6,,,,
2010-01-02 23:00:00,0.0,-5.2,74.0,,,250.0,7.6,,,,
2010-01-03 00:00:00,0.0,-4.8,76.0,,,270.0,5.4,,994.1,,
2010-01-03 06:00:00,-2.3,-5.1,86.0,,,120.0,5.4,,996.3,,
2010-01-03 08:00:00,-1.0,-5.0,80.0,,,100.0,5.4,,,,
2010-01-03 09:00:00,-1.0,-5.0,80.0,,,50.0,13.0,,,,
